"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 24 13:59:44 GMT 2023","Mon Jul 24 13:59:48 GMT 2023","3486","","tests.LogoutTest","","tests.LogoutTest","logoutSuccessfully","logoutSuccessfully()",""
"passed","Mon Jul 24 13:59:24 GMT 2023","Mon Jul 24 13:59:27 GMT 2023","2284","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [4] te, password, username",""
"passed","Mon Jul 24 13:59:18 GMT 2023","Mon Jul 24 13:59:21 GMT 2023","3303","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [2] test, password, username",""
"passed","Mon Jul 24 13:59:31 GMT 2023","Mon Jul 24 13:59:33 GMT 2023","2052","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [7] , password, username",""
"passed","Mon Jul 24 13:59:35 GMT 2023","Mon Jul 24 13:59:37 GMT 2023","2072","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [9] angular, password, ",""
"passed","Mon Jul 24 13:59:33 GMT 2023","Mon Jul 24 13:59:35 GMT 2023","2103","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [8] angular, , username",""
"passed","Mon Jul 24 13:59:21 GMT 2023","Mon Jul 24 13:59:24 GMT 2023","3177","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [3] angular, test, username",""
"passed","Mon Jul 24 13:59:29 GMT 2023","Mon Jul 24 13:59:31 GMT 2023","2138","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [6] angular, password, te",""
"passed","Mon Jul 24 13:58:49 GMT 2023","Mon Jul 24 13:59:18 GMT 2023","28877","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [1] angular, password, username",""
"passed","Mon Jul 24 13:59:27 GMT 2023","Mon Jul 24 13:59:29 GMT 2023","2138","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [5] angular, te, username",""
